denominazione;piva;comune;provincia;regione;data_costituzione;anno_cost;n_cf;anno_ult;fatt_ult;fatt_per_cf;utile_ult;utile_per_cf;margine_pct;cresc_24_pct;cagr_22_24_pct;fatt_2022;fatt_2023;fatt_2024;fatt_2025;utile_2022;utile_2023;utile_2024;utile_2025;dipendenti;ateco;stato;ra_nome;match
CONSULTIQUE SOCIETA' DI CONSULENZA FINANZIARIA S.P.A.;03148980232;VERONA;VR;VENETO;27/06/2001;2001;18;2024;4901847.0;272325;1473214.0;81845;30.1;24.7;22.1;3286192.0;3930884.0;4901847.0;;629930.0;883308.0;1473214.0;;10-24;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Consultique Societa' Di Consulenza Finanziaria S.P.A.;True
IOINVESTO SCF SRL;04462930167;BERGAMO;BG;LOMBARDIA;23/07/2020;2020;95;2024;3478759.0;36619;151768.0;1598;4.4;79.9;101.4;857738.0;1934048.0;3478759.0;;4110.0;54314.0;151768.0;;10-24;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Ioinvesto Societa' Di Consulenza Finanziaria S.R.L.;True
TACK SOCIETÀ DI CONSULENZA FINANZIARIA SRL;10934320960;MILANO;MI;LOMBARDIA;31/07/2019;2019;1;2024;2863214.0;2863214;1512166.0;1512166;52.8;18.5;8.9;2413993.0;2416469.0;2863214.0;;1200703.0;1025519.0;1512166.0;;0-9;66.19.21: Attività di consulenti finanziari abilitati all'offerta fuori sede;Attiva;Tack Societa' Di Consulenza Finanziaria S.R.L. Ovvero, In Forma Abbreviata, Tack Scf S.R.L.;True
IFA CONSULTING S.R.L. SOCIETÀ DI CONSULENZA FINANZIARIA;03270800232;VERONA;VR;VENETO;02/12/2002;2002;8;2025;1955376.0;244422;556661.0;69583;28.5;-7.1;;;2082846.0;1935152.0;1955376.0;;727483.0;578207.0;556661.0;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Ifa Consulting S.R.L. Societa' Di Consulenza Finanziaria;True
FAMILY CUBE PARTNERS SCF S.R.L.;10568800964;MILANO;MI;LOMBARDIA;11/12/2018;2018;2;2024;1937796.0;968898;12267.0;6134;0.6;2.3;4.5;1776000.0;1893500.0;1937796.0;;19186.0;27103.0;12267.0;;0-9;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Family Cube Partners Societa' Di Consulenza Finanziaria S.R.L.;True
V&M FAMILY PARTNERS S.P.A. SOCIETÀ DI CONSULENZA FINANZIARIA;11751800969;MILANO;MI;LOMBARDIA;30/04/2021;2021;4;2024;1832758.0;458190;703548.0;175887;38.4;25.0;24.0;1192167.0;1466408.0;1832758.0;;197298.0;384753.0;703548.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;V&M Family Partners S.P.A. - Societa' Di Consulenza Finanziaria;True
Q CONSULENZE SOCIETA' DI CONSULENZA FINANZIARIA S.R.L.;02870220353;REGGIO EMILIA;RE;EMILIA ROMAGNA;13/11/2019;2019;2;2024;1809545.0;904772;1258769.0;629384;69.6;61.4;89.3;504890.0;1121045.0;1809545.0;;118148.0;500119.0;1258769.0;;0-9;74.90.99: Altre attività professionali n.c.a.;Attiva;Q Consulenze Societa' Di Consulenza Finanziaria S.R.L.;True
LCG ADVISORY SOCIETA' DI CONSULENZA FINANZIARIA SOCIETA' PER AZIONI;05524721007;ROMA;RM;LAZIO;07/05/1998;1998;3;2024;1783182.0;594394;59376.0;19792;3.3;-36.0;-16.1;2531253.0;2785744.0;1783182.0;;370263.0;411990.0;59376.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Lcg Advisory Societa' Di Consulenza Finanziaria Spa;True
ADHOC SOCIETA' DI CONSULENZA FINANZIARIA SRL;04097240966;MILANO;MI;LOMBARDIA;16/10/2003;2003;16;2024;1711752.0;106984;5498.0;344;0.3;38.6;20.9;1171573.0;1235371.0;1711752.0;;-30264.0;-58564.0;5498.0;;0-9;66.19.22: Attività di agenti, mediatori e procacciatori in prodotti finanziari;Attiva;Adhoc Societa' Di Consulenza Finanziaria S.R.L.;True
TOKOS SCF SRL;09723730017;TORINO;TO;PIEMONTE;27/11/2007;2007;17;2024;1602898.0;94288;457641.0;26920;28.6;94.3;48.5;726388.0;824940.0;1602898.0;;9532.0;145759.0;457641.0;;0-9;70.22.09: Altre attività di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale;Attiva;Tokos - Societa' Di Consulenza Finanziaria S.R.L.;True
